Inst,citingDOI,CR,citedDOI,title,journal_book,date,issn1,issn1Type,issn2,issn2Type,isbn
UCLA,10.6038/j.issn.0001-5733.2012.12.003,"[___ Liu Guofeng], 2010, [________, Oil Geophysical Prospecting], V45, P196",nan,nan,Oil Geophysical Prospecting],nan,nan,nan,nan,nan,nan
UCLA,10.6038/j.issn.0001-5733.2012.12.003,"[___ LIU Jianhong], 2008, [_______, Progress in Geophysiscs], V23, P859",nan,nan,Progress in Geophysiscs],nan,nan,nan,nan,nan,nan
UCLA,10.1016/j.tecto.2018.12.015,"[___ Liu Zhifei], 2005, [____, Acta Sedimentologica Sinica], V23, P210",nan,nan,Acta Sedimentologica Sinica],nan,nan,nan,nan,nan,nan
UCLA,10.1002/2014TC003813,"[___ Pei Xianchi], 2005, [____, Geological Bulletin of China], V24, P23",nan,nan,Geological Bulletin of China],nan,nan,nan,nan,nan,nan
UCLA,10.1002/2014TC003813,"[___ PEI Xianzhi], 2007, [____, Acta Geologica Sinica], V81, P1550",nan,nan,Acta Geologica Sinica],nan,nan,nan,nan,nan,nan
UCLA,10.1130/L640.1,"[___ Shi Rendeng], 2004, [____, Acta Geologica Sinica], V78, P649",nan,nan,Acta Geologica Sinica],nan,nan,nan,nan,nan,nan
UCLA,10.1130/L640.1,"[___ Wang Aiguo], 2004, [_____, Journal of Stratigraphy], V28, P248",nan,nan,Journal of Stratigraphy],nan,nan,nan,nan,nan,nan
UCLA,10.1016/j.tecto.2018.12.015,"[___ Wang Guocan], 2004, [____, Earth science frontiers], V11, P481",nan,nan,Earth science frontiers],nan,nan,nan,nan,nan,nan
UCLA,10.1016/j.tecto.2018.12.015,"[___ WANG Guocan], 2007, [____, Geological Bulletin of China], V26, P929",nan,nan,Geological Bulletin of China],nan,nan,nan,nan,nan,nan
UCLA,10.6038/j.issn.0001-5733.2012.12.003,"[___ Wang Qingliang], 2002, [__________, Journal of Geodesy and Geodynamics], V22, P12",nan,nan,Journal of Geodesy and Geodynamics],nan,nan,nan,nan,nan,nan
UCLA,10.1016/j.tecto.2018.12.015,"[___ WU Zhen-han], 2009, [____, Geology of China], V36, P966",nan,nan,Geology of China],nan,nan,nan,nan,nan,nan
UCLA,10.1130/L640.1,"[___ XIANG Zhenqun], 2007, [____, Geological Bulletin of China], V26, P1686",nan,nan,Geological Bulletin of China],nan,nan,nan,nan,nan,nan
UCLA,10.6038/j.issn.0001-5733.2012.12.003,"[___ XU Xiwei], 2007, [____, Seismology and Geology], V29, P201",nan,nan,Seismology and Geology],nan,nan,nan,nan,nan,nan
UCLA,10.1016/j.tecto.2018.12.015,"[___ Yang Zijiang], 2006, [____, Geological Bulletin of China], V25, P118",nan,nan,Geological Bulletin of China],nan,nan,nan,nan,nan,nan
UCLA,10.1002/2014TC003813,"[___ Zhang Guowei], 2004, [____, Geological Bulletin of China], V23, P846",nan,nan,Geological Bulletin of China],nan,nan,nan,nan,nan,nan
UCLA,10.6038/j.issn.0001-5733.2012.12.003,"[___ Zhang Peizhen], 2006, [_____, Quaternary Sciences], V26, P5",nan,nan,Quaternary Sciences],nan,nan,nan,nan,nan,nan
UCLA,10.1002/2014TC003813,"[___ Zhang Yueqiao], 2010, [____, Acta Geologica Sinica], V84, P1300",nan,nan,Acta Geologica Sinica],nan,nan,nan,nan,nan,nan
UCLA,10.1002/2014TC003813,"[___ Zhang Yueqiao], 2011, [____, Geology of China], V38, P233",nan,nan,Geology of China],nan,nan,nan,nan,nan,nan
UCLA,10.1002/2014TC003813,"[___ Zou Xianwu], 2011, [____, Geology of China], V38, P282",nan,nan,Geology of China],nan,nan,nan,nan,nan,nan
CUBoulder,10.1002/joc.3609,"[?? Bian Duo], 2006, [??????, Journal of Applied Meteorolgical Science], V17, P169",nan,nan,Journal of Applied Meteorolgical Science],nan,nan,nan,nan,nan,nan
CUBoulder,10.1002/joc.3609,"[?? Che Tao], 2004, [????, Journal of Glaciology and Geocryology], V26, P397",nan,nan,Journal of Glaciology and Geocryology],nan,nan,nan,nan,nan,nan
CUBoulder,10.1002/ppp.1754,"[?? Cui Wei], 2010, [????, Journal of Glaciology and Geocryology], V32, P755",nan,nan,Journal of Glaciology and Geocryology],nan,nan,nan,nan,nan,nan
CUBoulder,10.1002/joc.3609,"[?? Du Jun], 2004, [????, Acta Geographica Sinica], V59, P375",nan,nan,Acta Geographica Sinica],nan,nan,nan,nan,nan,nan
CUBoulder,10.1016/j.coldregions.2014.02.005,"[?? Liu Jia], 2013, [??????, Advance in Earth Sciences], V28, P429",nan,nan,Advance in Earth Sciences],nan,nan,nan,nan,nan,nan
CUBoulder,10.1080/01431161.2018.1466075,"[?? Wan Xin], 2013, [????, Journal of Glaciology and Geocryology], V35, P1400",nan,nan,Journal of Glaciology and Geocryology],nan,nan,nan,nan,nan,nan
