Author,Year,Title
[??? Lin Zhanju],2010,Journal of Glaciology and Geocryology
[??? Liu Shiyin],2005,Journal of Glaciology and Geocryology
[??? Ma Guolin],2010,Acta Petrologica et Mineralogica
[??? Niu Fujun],2002,Journal of Glaciology and Geocryology
[??? SHANG Kezheng],2006,Journal of Lanzhou University. Natural Science
[??? Tang Maocang],2003,Plateau Meteorology
[??? WANG Chun-ying],2009,Geological Bulletin of China
[??? Wang Ninglian],2006,Quaternary Sciences
[??? Wang Ninglian],2006,Quaternary Sciences
[??? Wang Qingfeng],2013,Journal of Glaciology and Geocryology
[??? WANG Yetang],2007,Journal of Glaciology and Geocryology
[??? Wang Yuhan],2015,Journal of Hydraulic Engineering
[??? Wang Zhongheng],2005,Sedimentary geology and tethyan geology
[??? WU Jichun],2007,Journal of Glaciology and Geocryology
[??? XUE Guangqi],2005,Geological Review
[??? Yao Xiaofeng],2013,Geological Review
[??? ZHU Dicheng],2006,Acta Geologica Sinica
[?????? ?.?. Shmakin A.B.],2006,Izvestiya Rossiiskoi akademii nauk. Fizika atmosfery i okeana
[äºæ´¥æµ· YU Jinhai],2006,Geological journal of China universities
[åéå Liu Lujun],2013,Acta Palaeontologica Sinica
[å¢æè Lu Wensheng],2010,Building Structure
[å¢æè LU Wensheng],2008,Journal of Disaster Prevention and Mitigation Engineering
[å¨éæ Zhou Daocheng],2003,The Ocean Engineering
[é»å®é Huang Baofeng],2009,China Civil Engineering Journal
[è£è DONG Sheng],2006,Journal of Ocean University of China
[çç¿ å¤ Wang Cuikun],2002,Building structure
[Air U.E.O.o. USEPA],1997,MERC STUD REP C
[Anonymous],2008,100 JCGM
[Anonymous],2008,10319 ISO
[Anonymous],2003,1117932003E ISOIEC
[Anonymous],2004,11705 NZS
[Anonymous],2012,1291721 NIST GCR NEH
[Anonymous],,19 C INT OBS ASS SYS
[Anonymous],2017,201702 UWCD
[Anonymous],2006,705 ASCE
[Anonymous],,816F09004 USEPA
[Anonymous],2010,AN TAX DRIV COMP LOS
[Anonymous],2017,ANN EN OUTL 2017 PRO
[Anonymous],1985,ATC13
[Anonymous],,AUSTROMINERAL UNPUB
[Anonymous],2004,BBC NEWS
[Anonymous],2018,CAL COUNT AGR COMM R
[Anonymous],2006,CHICAGO MANUAL STYLE
[Anonymous],2004,CLIMATE DATA RECORDS
[Anonymous],2007,COSMO SKYMED SAR PRO
[Anonymous],2011,CRC HDB CHEM PHYS
[Anonymous],,D5818 ASTM INT
[Anonymous],2009,DECL LEAD MAJ EC FOR
[Anonymous],2011,DEMOGRAPHICS OF THE
[Anonymous],2011,EM DAT GLOB ATM RES
[Anonymous],,EPANET VERS 5 1
[Anonymous],2005,EUR 8 DES STRUCT E 6
[Anonymous],,FLAC 6 0 COMP SOFTW
[Anonymous],2002,GEOL SOC AM
[Anonymous],2012,GEOT REP CHRISTCH RE
[Anonymous],1881,GLAC REP
[Anonymous],2010,GLOBALVIEW CO2 COOP
[Anonymous],2013,GLOBALVIEW CO2 COOP
[Anonymous],2006,GUID SOIL DESCR
[Anonymous],2006,GUID SOIL DESCR
[Anonymous],,HADCRUT 4 5 0 0 NEAR
[Anonymous],,HSPF FORTR VERS 11
[Anonymous],2008,HUM MORT DAT
[Anonymous],1967,INT FORM COMM 6 INT
[Anonymous],2013,INTERGOVERNMENTAL PA
[Anonymous],2018,IPCC GUIDELINES NATL
[Anonymous],2013,ISGPS200 NAV GPS JOI
[Anonymous],2008,ISO GUID 30 1992 AMD
[Anonymous],2009,ISO GUID 34 2009 GEN
[Anonymous],2006,ISO GUID 35 2006 REF
[Anonymous],2015,LAT GLAC MASS BAL DA
[Anonymous],1996,LOS ANGELES TIMES
[Anonymous],2016,MATLAB VERS 9 1 R201
[Anonymous],,MODSIM VERS 8 1
[Anonymous],2013,MOL EL STRUCT PROGR
[Anonymous],,MON WEA REV
[Anonymous],2007,NAS TECHN HDB
[Anonymous],2017,NASAHDBK4002A
[Anonymous],,NAT GAS DRY VS WET
[Anonymous],2006,NAT RES CONS SERV
[Anonymous],1924,NAUD GEOL SPEZ REP O
[Anonymous],1999,NEWSLETTER
[Anonymous],,NOAA ESRL GLOB MON D
[Anonymous],1950,POLAR REC
[Anonymous],,PRES CLIM ACT PLAN S
[Anonymous],2013,PRES CLIM ACT PLAN T
[Anonymous],1971,PROP FLOOD CONTR PRO
[Anonymous],2008,PUBLIC PARTICIPATION
[Anonymous],2014,PVWMA CIT WATS REC F
[Anonymous],2001,RAIN HEIGHT MOD PRED
[Anonymous],2009,REV REL IAPWS FORM 1
[Anonymous],2007,REV REL IAPWS IND FO
[Anonymous],,RIV
[Anonymous],2006,SEISM DES CRIT VERS
[Anonymous],,SPART 10
[Anonymous],1958,SPEC ASS PRES PUBL W
[Anonymous],,STELLA
[Anonymous],1994,TECHNICAL REPORT
[Anonymous],2016,TENSORFLOW LARGE SCA
[Anonymous],2013,TURN DOWN HEAT CLIM
[Anonymous],1949,US GEOLOGICAL SURVEY
[Anonymous],2007,WATER SUPPLY ASSESSM
[Anonymous],2006,WHO GUID SAF US WAST
[Anonymous],2002,WORLD ATLAS DESERTIF
[Anonymous],2019,
[National Research Council (U.S.) Committee on Tropospheric Ozone Formation and Measurement],1991,RETH OZ PROBL URB RE
[NCEDC Northern California Earthquake Data Center],2014,
[Niu Yaoling çèé¾],2005,Geological journal of China universities
[SBGMR Shanxi Bureau of Geology (SBGMR)],1989,REG GEOL SHANX PRAV
*AASHTO,2002,
*ADEC,2008,
*AFEAS,2005,
*AGU COUNC,2009,
*AM PSYCH ASS,2001,
*ARCT RES CONS US,2005,
*ASCE,1995,
*ASHRAE,2009,18912009 ANSI ASHRAE
*ASHRAE,2004,ASHRAE HDB HVAC SYST
*ATC,1996,9601 ATC SSC
*ATSDR,2007,AG TOX SUBS DIS REG
*BUR EC AN,,GLOSS G BUR EC AN GL
*CA DEP WAT RES,2003,B CA DEP WAT RES
*CCX,2010,CONT CONS TILL CONV
*CDM EX BOARD,2003,APPR BAS METH AM0001
*CERSAT IFREMER,2002,ERS 1 ERS 2 NSCAT
*COMM LIM ORG LIF,2007,[No title captured]
*CORP NAT RES IN,2009,HANDL SYST
*CORP NAT RES IN,2006,HANDL SYST PUBL LIC
*CORP NAT RES IN,2007,HANDL SYST SERV AGR
*CORP NAT RES IN,2007,HANDLE NET VERS 6 2
*CORP NAT RES IN,2009,QUICK FACTS
*DEP DEF,2006,132226 DEP DEF
*DET NORSK VER,2002,PROB THEOR GEN PURP
*DISS WORK GROUP,2005,[No title captured]
*DUPONT,2004,TECHN B DUPONT
*EPA,2008,TMDLS STORMW PERM HD
*ESRL PSD,2010,MULT ENSO IND
*GEEKNET INC,2010,LIF SCI ID RES PROJ
*GEEKNET INC,2010,LSID DEV
*GEO SLOPE,2007,SLOPE W GEOSTUDIO 20
*GOALS PROJ,1999,BAYL EC HAB GOALS RE
*HUB BUR GEOL MIN,1990,REG GEOL HUB PROV
*HUBB BROOK EC STU,2001,GUID HUBB BROOK EXPT
*IAEA WMO,2006,GLOB NETW IS PREC GN
*IARC,2006,[No title captured]
*IARC,2001,HYDR ATL ARCT OC
*ICC,2000,INT BUILD COD
*ICC,2006,INT BUILD COD
*INT DOI FDN,2010,DIG OBJ ID SYST
*INT DOI FDN,2010,OV STAND
*INT DOI FDN,2010,TC 46 INFORM DOCUMEN
*INT PAN CLIM CHAN,2007,[No title captured]
*INT POL YEAR DAT,2008,CIT DAT
*INT STAND MAIN AG,2009,REG Z39 50 OBJ ID
*IPCC,2001,[No title captured]
*ISO,2003,[No title captured]
*ISO,1997,749831997 ISOIEC
*ISO IEC,2004,1117912004E ISOIEC
*ISO IEC,2005,1117922005E ISOIEC
*ISO IEC,2004,1117942004E ISOIEC
*ISO IEC,2005,1117952005E ISOIEC
*ISO IEC,2005,1117962005E ISOIEC
*ISO IEC,2003,2094312003 ISOIEC
*ITU,2005,983412005 ISOIEC ITU
*IVOA,2007,IVOA ID VERS 1 12
*MSDN,2010,GUID STRUCT
*NASA,2005,802012C NPR NASA
*NASA,2009,NASA HEL SCI DAT MAN
*NASA,2007,PUBL SAF
*NASA,2006,REQ ARCH DISTR US SE
*NASA KSC,1999,FAC HDB PAYL HAZ SER
*NASA SEEDS,2003,STRAT EV EARTH SCI E
*NAT RES COUNC,1991,[No title captured]
*NAT RES COUNC,2002,[No title captured]
*NAT RES COUNC,2007,[No title captured]
*NCDC,,DIV NORM STAND DEV U
*NETW DEV MARC STA,1999,LIB C CONTR NUMB LCC
*NETW DEV MARC STA,2006,STRUCT LC COUNC NUMB
*NEW EN FIN,2009,CARB TRAD WHATS IT F
*NIOSH,1996,[No title captured]
*NRC,2000,TOX EFF METH
*OASIS XRI TECHN C,2005,EXT RES ID XRI SYNT
*OCLC,2010,PURLS PERS UN RES LO
*OID REG,2010,FRANC TEL
*OLI SYST,2009,STREAM AN 2 0 64
*ONL COMP LIB CTR,2007,OCLC WORK ZEPH RED O
*ONL COMP LIB CTR,2010,OCLS INF SERV PUBL
*OP GROUP,1997,[No title captured]
*PROF SOIL SCI ASS,1998,ANN M MARCH 5 8 FURN
*PURL FED,2010,PERS URLS
*RIS NAT LAB,2010,UNEP RIS CDM JI PIP
*ROCK MOUNT I,2004,VAL DEC WAST TECHN C
*SE REG CLIM CTR,2008,DAYT BEACH WSO AP FL
*SISS,1985,[No title captured]
*SMS,2003,ATL CLIM VAL AOST
*SOIL SURV STAFF,1975,AGR HDB USDA SOIL CO
*SOIL SURV STAFF,2011,NAT COOP SOIL CHAR D
*SPSS INC,2003,[No title captured]
*SSSR,1977,TREES SHRUBS DISTR U
*TAX DAT WORK GROU,2006,BIOD INF STAND
*TDWG GLOB UN ID L,2010,GBIF WIK GLOB BIOD I
*THERM ENV INSTR I,2002,MOD 17C CHEM NH3 AN
*UC3,2010,NAM ASS AUTH NUMB NA
*UNEP,2007,197 UNEPOZL
*UNEP,1996,HDB INT TREAT PROT O
*UNEP,2010,UNEP PROD FEEDST PRO
*UNFCCC,2010,DAT COMM REP FORM
*US DOI,2008,CLIM CHANG TASK FORC
*US GEOL SURV,1990,[No title captured]
*US GEOL SURV,2008,NAT MAP LANDFIRE LAN
*US NAT RES COUNC,2001,BAS RES OPP EARTH SC
*US SAL LAB,1954,HDB USDA
*USA,1999,INT FEAS REP CHANN I
*USA,1997,LONG TERM MAINT S JE
*USA,2009,MCR DREDG MAT DISP S
*USDA,1986,[No title captured]
*USDA,1994,[No title captured]
*USDA,2009,2007 CENS AGR COL 6
*USDA,2009,OFF SOIL SER DESCR
*USEPA,1999,[No title captured]
*USEPA,2006,[No title captured]
*USEPA,1989,ASS CONTR IND AIR EF
*USEPA,2008,EST PROGR INT SUIT M
*USEPA,2007,IND AIR QUAL IAQ
*VIM3,2007,992007 VIM3 ISOIEC
*WHO,2009,WHOHTMTB2009411
*WIK,2010,LSID
*WIK,2010,OBJ ID
*WMO,1999,[No title captured]
*WMO,2003,[No title captured]
*WMO,2007,[No title captured]
*WMO,2007,[No title captured]
*WMO GAW,2003,[No title captured]
*WORLD BANK,2009,MONTR PROT MP PROJ C
*XINJ BGMR,1993,REG GEOL XINJ
*XIZ BGMR,1992,REG GEOL XIZ AUT REG
éé¢,2007,Chinese Science Bulletin]
A. ATC,1995,ADD ATC 20 POST BUIL
Aab A.,2015,P 34 INT COSM RAY C
Aagaard K.,1988,PMEL82 ERL NOAA
Aartsen M.,2014,ASTROPH14125106 ARXI
Aartsen M.,2016,ASTROPH161001814 ARX
Aartsen M.,2016,ASTROPH161206028 ARX
Aartsen M. G.,2013,P 33 INT COSM RAY C
Aartsen M. G.,2015,P 34 INT COSM RAY C
Aartsen M. G.,2015,P 34 INT COSM RAY C
AASHTO,2010,LRFD BRIDG DES SPEC
Aatola H.,2008,2008012500 SAE
Abbaspour KC,2004,VADOSE ZONE J
Abbott J. C.,2005,DRAGONFLIES DAMSELFL
Abdalla S,2013,ECMWF NEWSL
Abdrakhmatov KE,2001,GEOL GEOFIZ
Abelin H.,1985,85103 NUCL FUEL SAF
Abelin H.,1983,SCI BAS NUCL WAST MA
ABER JS,1991,[No title captured]
Abers GA,1998,Bulletin of the Seismological Society of America
Abraham J. D.,2011,505 USGS
Abraham JD,2012,20115219 US GEOL SUR
Abrahamson N.,2013,201304 PEER U CAL
ABRAHAMSON NA,1992,Bulletin of the Seismological Society of America
ABRAHAMSON NA,1992,Bulletin of the Seismological Society of America
Abrahamson NA,1996,Bulletin of the Seismological Society of America
Abrahamson NA,2014,EARTHQ SPECTRA
Abramenko A.,2010,ASTROPHYS J
Abramowitz M,1965,HDB MATH FUNCTIONS
Abramowitz M.,1964,HDB MATH FUNCTIONS F
Abramowitz M.,1972,HDB MATH FUNCTIONS F
ABRAMS MD,1986,FOREST SCI
Abrams T.,1952,MANUAL PHOTOGRAMMETR
Abu El Ella E. M.,1993,SCOPE UNEP SONDERBAN
ACI (American Concrete Institute),2011,318 ACI
ACIA (Arctic Climate Impact Assessment),2005,IMP WARM ARCT ARCT C
Ackerman Drew,2003,Journal of Water and Health
Ackerman Drew,2003,Journal of Water and Health
ACKROYD P,1986,Z GEOMORPHOL
Acosta Jose T.,1940,TORREIA [HAVANA]
Acosta-Galvis Andres Rymel,2000,Biota Colombiana
ADAM G,1968,[No title captured]
Adams A.,2005,THESIS
Adams DC,1997,ECOLOGY
Adams EE,1998,ANTARCT RES SER
ADAMS JB,2006,REMOTE SENSING LANDS
Adams P,2015,ETHICAL FRAMEWORK CL
Adams R McC,1965,LAND BAGHDAD HIST SE
Addink E.A.,2009,P AN 14 S BRAS SENS
Adler J. J.,2010,THESIS U COLORADO BO
Aerts-Bijma AT,2001,RADIOCARBON
AFONSO MD,1992,LANGMUIR
Agarwal K C,1978,Methods Enzymol
Agassiz L,1870,AM NAT
Agassiz L.,1843,RECHERCHES POISSONS
Agassiz Louis,1967,STUDIES GLACIERS PRE
AGEE JK,1993,FIRE ECOLOGY PACIFIC
AGEEV VG,1988,JETP LETT+
Agele S. O.,2010,Advances in Environmental Biology
AGIP Mineraria,1959,GIAC GASS EUR OCC
AGIP Spa,1977,TEMP SOTT
Agnew D. C.,1986,EOS Transactions of the American Geophysical Union
Agnew D. C.,2008,GPS SOLUTIONS
Agnew D. C.,2012,SPOTL SOME PROGRAMS
Agnew D. C.,2012,TECHNICAL REPORT
Agnew D.C.,2012,SPOTL SOME PROGRAMS
Agnew D.C.,2012,SPOTL SOME PROGRAMS
Agresti A,2007,INTRO CATEGORICAL DA
Aguirre-Pe J,1975,P 16 C INT ASS HYDR
AGUIRREPE J,1991,P 24 C INT ASS HYDR
Ahlers M.,2010,FERMILABFN0847A
Ahlers M.,2016,PROGR PARTICLE NUCL
AHLQVIST J,1969,Journal of Forensic Sciences
Ahmed R.,2010,P 2010 IEEE INT GEOS
Ahmed Z.,1976,GEOLOGICAL B PUNJAB
Ahn K.M.,2018,WATER
Ahnert F.,1977,Earth Surface Processes
Ahr W.M.,2005,OILFIELD REV
Ahrens C. D.,2000,METEOROLOGY TODAY IN
Aikas K.,2000,ENG ROCK MASS CLASSI
AIKEN J,1995,[No title captured]
Aiken K.,2000,Naga
AIM science team,,AIM CIPS PMC LEV 2 D
Air Sciences Inc.,2005,2002 FIR EM INV WRAP
Airoldi L,1998,ECOLOGY
Airoldi L,2003,OCEANOGR MAR BIOL
Aitken M. J.,1998,INTRO OPTICAL DATING
Aitken M.J.,1998,INTRO OPTICAL DATING
Aitken R L,1995,PLANT SOILINTERACTIO
Aja S.U.,1993,P 4 INT S HYDR REACT
Ajami NK,2004,J HYDROL
AKAIKE H,1974,IEEE T AUTOMAT CONTR
Akcakaya H. Resit,2000,Ecological Bulletins
Aki K,2002,QUANTITATIVE SEISMOL
Aki K.,1980,QUANTITATIVE SEISMOL
Aki K.,1980,QUANTITATIVE SEISMOL
Aki K.,2002,QUANTITATIVE SEISMOL
Aki K.,2002,QUANTITATIVE SEISMOL
Aki K.,2002,QUANTITATIVE SEISMOL
Akimoto H.,1992,E ASIAN N PACIFIC RE
Akin E,1989,HLTH GUIDELINES USE
Akins JA,2002,GEOPHYS RES LETT
Akmaev R.,2013,GEOPHYS RES LETT
Akulichev VA,2001,DOKL EARTH SCI
Al-Amri AM,1999,SEISMOL RES LETT
Al-Lazki I.A.,2002,GEOARABIA
Alanis P.,2003,ATMOS ENVIRON
ALBAN S,2003,[No title captured]
ALBARELLO D,2000,[No title captured]
ALBERS JP,1972,[No title captured]
Albert J.,1998,YALE SCH FORESTRY EN
Albert JM,2009,GEOPHYS RES LETT
Albert JM,2009,GEOPHYS RES LETT
Alcantara-Carrio J,2002,J COASTAL RES
Aldenderfer M.S.,1999,B ARQUEOLOGICA PUCP
ALDENDERFER MS,2005,FDN POWER PREHISPANI
ALDENDERFER MS,1996,INFORME FINAL UNPUB
Aldrich D. P.,2012,BUILDING RESILIENCE
Aleksandrov K.S.,1961,IZV ACAD SCI USSR GE
Alemayehu T,2006,GROUNDWATER OCCURREN
Alessio M.,1982,GEOGR FIS DIN QUAT
Alexander C.,2009,EUROPA
Alexander C. S.,2010,P 11 HYP IMP S
Alexander JW,1928,T AM MATH SOC
ALEXANDER R,2006,TSUNAMI BUILD BACK B
Alfaro RI,2004,PACIF FOR C
ALGER AS,1997,[No title captured]
Ali L.,2015,J ASIAN EARTH SCI
Alila Y.,2009,200906 CAN FOR SERV
Allan JC,2002,J COASTAL RES
Allan R.,2014,Bulletin of the American Meteorological Society
Allan R.,1996,NINO SO OSCILLATION
ALLAN W,1993,ANN GEOPHYS
Allaz J.M.,2011,EMAS 2011 MOD DEV AP
ALLEN BH,1991,HILGARDIA
Allen C,2009,WATEREUSE CAL ANN C
Allen C.R.,1972,BORREGO MOUNTAIN EAR
Allen D,2010,HASTINGS W NW J ENV
ALLEN D,2004,VARIABLE IND VOC EMI
Allen D.,2000,OILFIELD REV
Allen D.T.,2011,TCEQ 2010 FLARE STUD
Allen ET,1935,CARNEGIE I WASHINGTO
ALLEN G R,1989,Records of the Western Australian Museum
Allen M.,2006,AVOIDING DANGEROUS C
Allen R. G.,1998,FAO Irrigation and Drainage Paper
Allen R. G.,1998,FAO Irrigation and Drainage Paper
Allen R. G.,1998,FAO Irrigation and Drainage Paper
Allen R. G.,1998,FAO Irrigation and Drainage Paper
Allen S.,1989,CHEM ANAL ECOLOGICAL
ALLEN TM,1992,P INT S GEOS REINF S
Allen-Diaz B. H.,1991,Madrono
Allen-Piccolo G,2009,INT J OCCUP ENV HEAL
Alley R. B.,1982,Annals of Glaciology
Allgeier SC,1998,J AM WATER WORKS ASS
Allis RG,2005,REACTIVE MULTIPHASE
Allison G. B.,1983,P INT S IS HYDR WAT
Allison I.,2007,1364 WMOTD
Allmendinger R. W.,2012,STRUCTURAL GEOLOGY A
Allsopp H. L.,1989,P 4 INT KIMB C GEOL
Almeev RR,2007,Geochimica et Cosmochimica Acta
Alonso M C,1999,Int Microbiol
Alpers C.N.,1999,ENV GEOCHEMISTRY MIN
ALPERT P,1990,ISR J EARTH SCI
Alsing J.,2017,BASIC SG MERGED SWOO
Alt JC,2000,GEOL SOC AM SPEC PAP
Altabet MA,2006,HANDB ENVIRON CHEM
Altman M.,2007,D LIB MAG
Altman SJ.,1996,SAND960819 SAND NAT
Altmann SL,1986,ROTATIONS QUATERNION
Altrock R,2008,ASTR SOC P
ALTROCK RC,2010,ASTRON SOC IN PRESS
ALTROCK RC,2007,EOS T AGU S
ALVAREZ PF,2007,THESIS FLA INT U MIA
Alvarez PJJ,2006,ENVIR SC T
Alves O,2014,CLIVAR EXCHANGES
ALVESTRAND HT,1997,OBJECT IDENTIFIERS R
Amador J.,2014,Bulletin of the American Meteorological Society
Amador J.,2014,SOIL SCI SOC AM INN
Amante C,2009,ETOPO1 1 ARC MINUTE
Amante C,2009,NGDC24 NESDIS NOAA
Amante C.,2009,NGDC24 NOAA NESDIS
Amante C.,2009,NGDC24 NOAA NESDIS
Amante C.,2009,NGDC24 NOAA NESDIS
AMAP,2011,SNOW WAT IC PERM ARC
AMAP,2017,SNOW WAT IC PERM ARC
AMBRASEY.NN,1969,Bulletin of the Seismological Society of America
Ambraseys N. N.,1982,CAMBRIDGE EARTH SCI
AMBRASEYS NN,1982,[No title captured]
AMBRASEYS NN,1982,[No title captured]
Ambroise B.,1996,Water Resources Research
AMBROSE GJ,2001,APPEA J
Ambwani K,2005,CURR SCI INDIA
AMEC,2014,CONNECTFLOW TECHN SU
Amelin Y,2011,METEORIT PLANET SCI
American Architectural Manufacture Association (AAMA),2009,501409 AAMA
American Architectural Manufacture Association (AAMA),2009,501609 AAMA
American Association for the Advancement of Science (AAAS),2011,SCIENCE
American Concrete Institute,2014,31814 ACI
American Society of Civil Engineers (ASCE),2010,710 SEIASCE
American Society of Civil Engineers (ASCE),2014,ASCESEI4113
American_Society_for_Testing_and_Materials,1997,ANN BOOK ASTM STAND
American_Society_for_Testing_and_Materials,2006,ANN BOOK ASTM STAND
American_Society_for_Testing_and_Materials,2008,ANN BOOK ASTM STAND
Amidon W.H.,2016,GEOLOGY
Aminalragia-Giamini S.,2018,J SPACE WEATHER SPAC
AMINZADEH F,1997,SEG EAGE 3 D MODELIN
AMMA,2010,INT SCI PLAN 2010 20
AMMON CJ,1991,Bulletin of the Seismological Society of America
AMMON CJ,1993,Bulletin of the Seismological Society of America
Amthor JE,2005,GEOARABIA
Amundson R.,2004,TREATISE ON GEOCHEMISTRY
Anaf W,2010,STUDY FORMATION HETE
Anagnos T.,1999,DEV ELECT SUBSTATION
Anand M.,2008,LUN PLAN SCI C 39
ANANICHEVA M D,2002,DATA GLACIOL STUD
ANANICHEVA MD,2003,DATA GLACIOL STUD MO
ANANICHEVA MD,2003,DATA GLACIOLOGICAL P
ANANICHEVA MD,2006,GLACIATION N CENTRAL
ANANICHEVA MD,2005,WCRP CLIMATE CR 0701
Ancheta T.D.,2013,201303 PEER U CAL
Ancheta TD,2013,PEER NGA WEST2 DATAB
Anderberg M.R.,1973,CLUSTER ANAL APPL
ANDERS E,1978,NASA C PUBL
ANDERSEN H. V.,1961,GEOLOGICAL B
ANDERSEN HAROLD V.,1952,JOUR WASHINGTON ACAD SCI
Andersen OGN,1981,MEDDELELSER GRONLAND
Andersland OB,2004,FROZEN GROUND ENG
Anderson D. E.,1998,THESIS U CALIFORNIA
Anderson D. M.,1998,PHYSL ECOLOGY HARMFU
Anderson D.M.,1989,P11
ANDERSON DG,2009,[No title captured]
Anderson DG,2008,611 NCHRP TRANSP RES
Anderson E,1999,LAPACK USERS GUIDE
Anderson E.A.,1973,HYDRO17 NWS
Anderson EA,1976,19 NWS US NOAA
ANDERSON G,1986,[No title captured]
Anderson G.,2006,PLATE BOUNDARY OBSER
ANDERSON J,1974,Bulletin of the Seismological Society of America
ANDERSON JG,1987,Bulletin of the Seismological Society of America
ANDERSON JL,1995,American Mineralogist
Anderson JL,2004,J CLIMATE
Anderson JL,2004,J CLIMATE
ANDERSON JR,1971,PHOTOGRAMM ENG
Anderson K.,2014,GEOPHYS MON IN PRESS
Anderson M.P.,1992,APPL GROUNDWATER MOD
ANDERSON OL,1995,EQUATIONS STATE SOLI
Anderson R. E.,1973,43392 US GEOL SUERV
Anderson S,2004,TECHNICAL REPORT
Anderson S.,1977,American Museum Novitates
Anderson SP,2002,GEOL SOC AM BULL
Anderson SP,2002,GEOL SOC AM BULL
Anderson W. W.,1998,NASACR1998207766 STI
Anderson W. W.,1997,P LUN PLAN SCI C 28
Andersson E.,2010,ECMWF NEWSLETTER
